upstream,vuln_id,osv,Valid,fix_urls
https://github.com/vim/vim,CVE-2022-0729,https://osv.dev/vulnerability/CVE-2022-0729,TRUE,https://archive.softwareheritage.org/browse/revision/6456fae9ba8e72c74b2c0c499eaf09974604ff30/
https://github.com/microsoft/vscode,CVE-2023-36742,https://osv.dev/vulnerability/CVE-2023-36742,FALSE,https://archive.softwareheritage.org/browse/revision/6509174151d557a81c9d0b5f8a5a1e9274db5585/
https://github.com/vim/vim,CVE-2022-0417,https://osv.dev/vulnerability/CVE-2022-0417,TRUE,https://archive.softwareheritage.org/browse/revision/652dee448618589de5528a9e9a36995803f5557a/
https://github.com/vim/vim,CVE-2021-3778,https://osv.dev/vulnerability/CVE-2021-3778,TRUE,https://archive.softwareheritage.org/browse/revision/65b605665997fad54ef39a93199e305af2fe4d7f/
https://github.com/ruby/ruby,CVE-2021-28966,https://osv.dev/vulnerability/CVE-2021-28966,TRUE,https://archive.softwareheritage.org/browse/revision/6847ee089d7655b2a0eea4fee3133aeacd4cc7cc/
https://github.com/golang/go,CVE-2023-39323,https://osv.dev/vulnerability/CVE-2023-39323,FALSE,https://archive.softwareheritage.org/browse/revision/68f9a6e2addc828246992e66e79c6a51a32d1d71/
https://github.com/golang/go,CVE-2019-16276,https://osv.dev/vulnerability/CVE-2019-16276,FALSE,https://archive.softwareheritage.org/browse/revision/6c15c7cce718e1e9a47f4f0ab1bd70923b04557b/
https://github.com/vim/vim,CVE-2022-3016,https://osv.dev/vulnerability/CVE-2022-3016,TRUE,https://archive.softwareheritage.org/browse/revision/6d24a51b94beb1991cddce221f90b455e2d50db7/
https://github.com/vim/vim,CVE-2022-0572,https://osv.dev/vulnerability/CVE-2022-0572,TRUE,https://archive.softwareheritage.org/browse/revision/6e28703a8e41f775f64e442c5d11ce1ff599aa3f/
https://github.com/vim/vim,CVE-2021-4166,https://osv.dev/vulnerability/CVE-2021-4166,TRUE,https://archive.softwareheritage.org/browse/revision/6f98371532fcff911b462d51bc64f2ce8a6ae682/
https://github.com/vim/vim,CVE-2022-1942,https://osv.dev/vulnerability/CVE-2022-1942,TRUE,https://archive.softwareheritage.org/browse/revision/71223e2db87c2bf3b09aecb46266b56cda26191d/
https://github.com/btcsuite/btcd,CVE-2018-17145,https://osv.dev/vulnerability/CVE-2018-17145,TRUE,https://archive.softwareheritage.org/browse/revision/718d268a8cf55af9b329bac9e171009352fbc10a/
https://github.com/ripple/rippled,CVE-2022-29077,https://osv.dev/vulnerability/CVE-2022-29077,FALSE,https://archive.softwareheritage.org/browse/revision/72377e7bf25c4eaee5174186d2db3c6b4210946f/
https://github.com/solidusio/solidus_auth_devise,CVE-2021-41274,https://osv.dev/vulnerability/CVE-2021-41274,TRUE,https://archive.softwareheritage.org/browse/revision/731a6645e90ea9fd228f78ec53c6976c048a0555/
https://github.com/vim/vim,CVE-2021-3903,https://osv.dev/vulnerability/CVE-2021-3903,TRUE,https://archive.softwareheritage.org/browse/revision/777e7c21b7627be80961848ac560cb0a9978ff43/
https://github.com/nextcloud/richdocuments,CVE-2021-37628,https://osv.dev/vulnerability/CVE-2021-37628,FALSE,https://archive.softwareheritage.org/browse/revision/79932dda715fc88baebc8693dc6c5e84f98066c8/
