fork,upstream,vuln_id,head_swh,fix_urls,manual evaluation,Owner notification,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://github.com/rockchip-linux/kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/098442d79d1afe9a7d19db5e71a04f0c007755de,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,,,,,
https://github.com/panda-re/panda,https://gitlab.com/qemu-project/qemu,CVE-2022-26353,https://archive.softwareheritage.org/browse/revision/831b930d80c526582aed342003efadfbf9890aaf,https://archive.softwareheritage.org/browse/revision/abe300d9d894f7138e1af7c8e9c88c04bfe98b37/,POSITIVE,,,,,
https://github.com/panda-re/panda,https://github.com/qemu/qemu,CVE-2019-13164,https://archive.softwareheritage.org/browse/revision/831b930d80c526582aed342003efadfbf9890aaf,https://archive.softwareheritage.org/browse/revision/03d7712b4bcd47bfe0fe14ba2fffa87e111fa086/,POSITIVE,AFFECTED,,,,
https://github.com/beckus/qemu_stm32,https://gitlab.com/qemu-project/qemu,CVE-2022-26353,https://archive.softwareheritage.org/browse/revision/5ae4df8a7267149f6ff5a9f8fa4f6b8adbc28fbc,https://archive.softwareheritage.org/browse/revision/abe300d9d894f7138e1af7c8e9c88c04bfe98b37/,POSITIVE,AFFECTED,,,,
https://github.com/justmoon/node-extend,https://github.com/eggjs/extend2,CVE-2021-23568,https://archive.softwareheritage.org/browse/revision/eae3077fbb46f88b802565c71e5969fa7cec5207,https://archive.softwareheritage.org/browse/revision/aa332a59116c8398976434b57ea477c6823054f8/,POSITIVE,NOT AFFECTED,,,,
https://github.com/bitcoin-sv/bitcoin-sv,https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://archive.softwareheritage.org/browse/revision/e92829b814cf470a1801dc484259118722337b5e,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/,POSITIVE,AFFECTED,,,,
https://github.com/hardkernel/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/b217bb34730992669ae554c6f8b13ff8d159a795,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,NOT AFFECTED,,,,
https://github.com/gomini/go-mips32,https://github.com/golang/go,CVE-2019-6486,https://archive.softwareheritage.org/browse/revision/56b0efd6bad0c9554b5670fa6c3641282dd4d570,https://archive.softwareheritage.org/browse/revision/42b42f71cf8f5956c09e66230293dfb5db652360/,POSITIVE,,,,,
https://github.com/gomini/go-mips32,https://github.com/golang/go,CVE-2023-39533,https://archive.softwareheritage.org/browse/revision/56b0efd6bad0c9554b5670fa6c3641282dd4d570,https://archive.softwareheritage.org/browse/revision/2350afd2e8ab054390e284c95d5b089c142db017/,POSITIVE,,,,,
https://github.com/XQuartz/xorg-server,https://gitlab.freedesktop.org/xorg/xserver,CVE-2023-6377,https://archive.softwareheritage.org/browse/revision/eb7c1e7fb16338d8fc03a0bb0f9bb53eb99ee139,https://archive.softwareheritage.org/browse/revision/0c1a93d319558fe3ab2d94f51d174b4f93810afd/ https://archive.softwareheritage.org/browse/revision/a7bda3080d2b44eae668cdcec7a93095385b9652/ https://archive.softwareheritage.org/browse/revision/19e9f199950aaa4b9b7696936d1b067475da999c/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-1154,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/b55986c52d4cd88a22d0b0b0e8a79547ba13e1d5/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-2285,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/27efc62f5d86afcb2ecb7565587fe8dea4b036fe/,POSITIVE,,,,,
